time,Theta_set,Theta_input
1991,40,82.86
1992,40,82.86
1993,40,82.86
1994,40,82.85
1995,40,82.85
1996,40,82.85
1997,40,82.85
1998,40,82.85
1999,40,82.87
2000,40,82.87
2001,40,82.87
2002,40,82.87
2003,40,82.87
2004,40,82.87
2005,40,82.87
2006,40,82.87
2007,40,82.87
2008,40,82.87
2009,40,82.87
2010,40,82.87
2011,40,82.87
2012,40,82.87
2013,40,82.87
2014,40,82.87
2015,40,82.87
2016,40,82.87
2017,40,82.87
2018,40,82.87
2019,40,82.87
2020,40,82.87
2021,40,82.87
2022,40,82.87
2023,40,82.87
2024,40,82.87
2025,40,82.87
2026,40,82.87
2027,40,82.87
2028,40,82.87
2029,40,82.87
2030,40,82.87
2031,40,82.87
2032,40,82.87
2033,40,82.87
2034,40,82.87
2035,40,82.87
2036,40,82.87
2037,40,82.87
2038,40,82.87
2039,40,82.87
2040,40,82.87
2041,40,82.87
2042,40,82.87
2043,40,82.87
2044,40,82.87
2045,40,82.87
2046,40,82.87
2047,40,82.87
2048,40,82.87
2049,40,82.87
2050,40,82.86
2051,40,82.86
2052,40,82.87
2053,40,82.86
2054,40,82.86
2055,40,82.86
2056,40,82.86
2057,40,82.86
2058,40,82.86
2059,40,82.86
2060,45,82.86
2061,45,82.86
2062,45,82.86
2063,45,82.86
2064,45,82.86
2065,45,82.86
2066,45,82.86
2067,45,82.86
2068,45,82.86
2069,45,82.86
2070,45,82.86
2071,45,82.86
2072,45,82.86
2073,45,82.86
2074,45,82.86
2075,45,82.86
2076,45,82.86
2077,45,82.86
2078,45,82.86
2079,45,82.86
2080,45,82.86
2081,45,82.86
2082,45,82.86
2083,45,82.86
2084,45,82.85
2085,45,82.85
2086,45,82.85
2087,45,82.86
2088,45,82.86
2089,45,82.85
2090,45,82.85
2091,45,82.85
2092,45,82.85
2093,45,82.85
2094,45,82.85
2095,45,82.85
2096,45,82.84
2097,45,82.84
2098,45,82.84
2099,45,82.85
2100,45,82.85
2101,45,82.86
2102,45,82.86
2103,45,82.86
2104,45,82.86
