ime,Theta_set,Theta_input
1282,40,39.08
1283,40,38.93
1284,40,38.99
1285,40,39.2
1286,40,39.5
1287,40,39.84
1288,40,40.17
1289,40,40.45
1290,40,40.57
1291,40,40.44
1292,40,40.06
1293,40,39.69
1294,40,39.53
1295,40,39.63
1296,40,39.89
1297,40,40.18
1298,40,40.45
1299,40,40.68
1300,40,40.66
1301,40,40.51
1302,40,40.47
1303,40,40.51
1304,45,40.35
1305,45,40.11
1306,45,40.01
1307,45,40.09
1308,45,40.25
1309,45,40.43
1310,45,40.56
1311,45,40.62
1312,45,40.64
1313,45,40.68
1314,45,40.7
1315,45,40.74
1316,45,40.78
1317,45,40.84
1318,45,40.91
1319,45,40.98
1320,45,41.05
1321,45,41.13
1322,45,41.2
1323,45,41.27
1324,45,41.32
1325,45,41.38
1326,45,41.43
1327,45,41.47
1328,45,41.51
1329,45,41.55
1330,45,41.58
1331,45,41.63
1332,45,41.94
1333,45,42.7
1334,45,43.57
1335,45,44.42
1336,45,45.2
1337,45,45.91
1338,45,46.59
1339,45,47.28
1340,45,47.99
1341,45,48.69
1342,45,49.4
1343,45,50.07
1344,45,50.73
1345,45,51.36
1346,45,51.81
1347,45,52.03
1348,45,52.03
1349,45,51.86
1350,45,51.6
1351,45,51.27
1352,45,50.88
1353,45,50.43
1354,45,49.95
1355,45,49.45
1356,45,48.91
1357,45,48.31
1358,45,47.66
1359,45,47
1360,45,46.32
1361,45,45.61
1362,45,44.96
1363,45,44.47
1364,45,44.11
1365,45,43.9
1366,45,43.81
1367,45,43.85
1368,45,43.96
1369,45,44.14
1370,45,44.37
1371,45,44.64
1372,45,44.87
1373,45,45
1374,45,45.05
1375,45,45.04
1376,45,45.02
1377,45,45.03
1378,45,45.05
1379,45,45.11
1380,45,45.19
1381,45,45.29
1382,45,45.41
1383,45,45.54
1384,45,45.66
1385,45,45.77
1386,45,45.86
1387,45,45.93
1388,45,45.97
1389,45,45.96
1390,45,45.94
1391,45,45.91
1392,45,45.86
1393,45,45.83
1394,45,45.8
1395,45,45.79
1396,45,45.8
1397,45,45.83
1398,45,45.88
1399,45,45.97
1400,45,46.05
1401,45,46.01
1402,45,45.9
1403,45,45.87
1404,40,45.72
1405,40,45.52
1406,40,45.28
1407,40,44.98
1408,40,44.62
1409,40,44.25
1410,40,43.87
1411,40,43.53
1412,40,43.16
1413,40,42.8
1414,40,42.48
